,Review,Rating,Review_clean,sentiment
15078,Wow! Amazing Shirt!,5,wow amazing shirt,0.8225
15079,White is off white. Size up for a loose fit.,3,white white size loose fit,0.0516
15080,Hot fabric,2,hot fabric,0.0
15081,Good fit.,5,good fit,0.6597
15082,fabric isn't elastic,4,fabric not elastic,0.0
15083,"Super cute, super comfortable!",5,super cute super comfortable,0.9337
15084,love,5,love,0.6369
15085,Did not match size chart provided - way too small,1,match size chart provide   way small,0.0
15086,Gorgeous shirt,5,gorgeous shirt,0.6124
15087,Ordered,5,order,0.0
15088,"Bought 2. One fits,1 doesn't.",3,buy 2 fits1 not,0.0
15089,A bit on the small side.,4,bit small,0.0
15090,"It's really nice,  but the packaging needs some work",5,nice   packaging need work,0.4215
15091,Order size larger,3,order size large,0.0
15092,Wrinkled permanently,1,wrinkle permanently,0.0
15093,Looks nice & is comfortable.,5,look nice   comfortable,0.7269
15094,Visually Appealing,5,visually appeal,0.0
15095,The shirt is not what I expected it’s way too small and it doesn’t fit me,2,shirt expect way small not fit,-0.2755
15096,Perfect for Tall Girls,5,perfect tall girl,0.5719
15097,Nice blouse.,4,nice blouse,0.4215
15098,LOVE,5,love,0.6369
15099,Mom,5,mom,0.0
15100,RETURN OR EXCHANGE ALTHOUGH IT SAYS THAT I CAN DO IT TILL SEP.15,1,return exchange say till sep15,0.0
15101,Never got my refund,1,get refund,0.0
15102,Looks great. Fits great.,5,look great fit great,0.8934
15103,Very tight through the chest and shoulders.,2,tight chest shoulder,0.0
15104,Not wrinkle-free! Make sure to use a cloth between the iron and this blouse!,5,wrinklefree sure use cloth iron blouse,0.3182
15105,Purchase one size up,5,purchase size,0.0
15106,Wrinkle Free,5,wrinkle free,0.5106
15107,NOT chiffon!,3,chiffon,0.0
15108,Way too ugly compared to the picture you had on it.,1,way ugly compare picture,-0.5106
15109,Great torso length,5,great torso length,0.6249
15110,matched my pants better have matched the colors in my boho pants.,3,match pant well match color boho pant,0.2732
15111,Great summer/spring top for work,5,great summerspre work,0.6249
15112,Beautiful flattering top,5,beautiful flattering,0.7351
15113,Style not for me,1,style,0.0
15114,Not if you big chested,3,big cheste,0.0
15115,Top is pretty,4,pretty,0.4939
15116,"Very nice comfortable top, so glad I got it.",5,nice comfortable glad get,0.8442
15117,Nice top!!,5,nice,0.4215
15118,cute but too small,4,cute small,0.4588
15119,Great overall shirt,5,great overall shirt,0.6249
15120,Very complimentary!  True to size.,5,complimentary   true size,0.6908
15121,Fit is nice. Material is a bit odd,4,fit nice material bit odd,0.4588
15122,Queda bonita,5,queda bonita,0.0
15123,I really like the color,5,like color,0.3612
15124,The sleeves didn’t match the fit of the body.,1,sleeve not match fit body,-0.2755
15125,Comfortable perfect fit good price,5,comfortable perfect fit good price,0.9081
15126,"Bought as gifts a bit too thin and stretchy for her age, 63.",4,buy gift bit thin stretchy age 63,0.4404
15127,Perfect fit and color!,5,perfect fit color,0.7351
15128,"Looks great, very comfortable, flattering",5,look great comfortable flattering,0.8658
15129,Great shirt for people who tend to sweat,4,great shirt people tend sweat,0.6249
15130,My favorite shirt this summer!,5,favorite shirt summer,0.4588
15131,Nice fabric but too small,2,nice fabric small,0.4215
15132,Love this Top,5,love,0.6369
15133,I bought it in 3 colors!,5,buy 3 color,0.0
15134,Great color and fit,5,great color fit,0.765
15135,Awesome shirt.,5,awesome shirt,0.6249
15136,Would like one in every color,5,like color,0.3612
15137,Soft go to,5,soft,0.0
15138,I love this shirt!,5,love shirt,0.6369
15139,"Great fit, so soft!",5,great fit soft,0.765
15140,LOVE!!!,5,love,0.6369
15141,Easy shirt to replace Tshirt,5,easy shirt replace tshirt,0.4404
15142,Nice blouse.  Rich color and flattering fit.  Love the ruffle sleeve.,5,nice blouse   rich color flattering fit   love ruffle sleeve,0.9371
15143,Comfort and cute!,5,comfort cute,0.6705
15144,I love these tops,5,love top,0.7184
15145,Very nicely made.,5,nicely,0.4404
15146,Very beautiful end elegant,5,beautiful end elegant,0.7906
15147,Already gave it a poor review,2,give poor review,-0.4767
15148,"Garbage. Fit wrong, cheap fabric, print sloppy.",1,garbage fit wrong cheap fabric print sloppy,-0.1531
15149,"No stretch, great color and fit and slightly sheer",5,stretch great color fit slightly sheer,0.765
15150,"Love it I have it in 3 colors, the xxl fits me nicely, I'm 5'4"" and I'm overweight 212 lbs",5,love 3 color xxl fit nicely m 54 m overweight 212 lbs,0.7964
15151,Good little too!,4,good little,0.4404
15152,Size up by 1,3,size 1,0.0
15153,Better than Expected!,5,well expect,0.2732
15154,Inner layer is too snug,3,inner layer snug,0.0
15155,Light weight & comfortable,5,light weight   comfortable,0.5106
15156,Oversized and cheap fabric,2,oversized cheap fabric,0.0
15157,HORRIBLE Fabric: Do Not Buy (However Cute in the Picture),1,horrible fabric buy cute picture,-0.128
15158,Was not pleased with the material.,2,pleased material,0.4404
15159,"Really pretty, get complements",5,pretty complement,0.4939
15160,A bit more matronly than what was pictured and not as vibrant.,1,bit matronly picture vibrant,0.5267
15161,I just love this blouse/shirt - it fits well and I think it just feels good on!! Thanks so much.,5,love blouseshirt   fit think feel good thank,0.9022
15162,Feminine lightweight blouse,5,feminine lightweight blouse,0.0
15163,Print didn’t look like I expected but still acceptable.,5,print not look like expect acceptable,0.049
15164,Soft pattern top,5,soft pattern,0.0
15165,Cute shirt but....,3,cute shirt,0.4588
15166,It is light & airy & elastic on wrist is rather tight.,5,light   airy   elastic wrist tight,0.0
15167,Hangs too much,2,hang,0.0
15168,White floral Color has more pink flowers than pic portrays,3,white floral color pink flower pic portray,0.0
15169,Going Back,1,go,0.0
15170,A gift for my daughter's birthday.,5,gift daughter birthday,0.4404
15171,Fits loose,3,fit loose,0.0516
15172,Thread undone and neckline uneven,2,thread undone neckline uneven,0.0
15173,"Pretty, but…",4,pretty,0.4939
15174,pretty 🥰,5,pretty,0.4939
15175,Great...till it wasn't,3,greattill not,0.0
15176,Unbelievable!,5,unbelievable,0.2023
15177,Such a soft fabric and so cute!,5,soft fabric cute,0.4588
15178,Soft and feminine….,5,soft feminine,0.0
15179,Nice color and super comfy!,5,nice color super comfy,0.7717
15180,Was overpriced to me.,1,overpriced,0.0
15181,Polka dot and good fit,5,polka dot good fit,0.6597
15182,Send to me the pants,1,send pant,0.0
15183,"Picture appears to be 2 pieces, but it is not",4,picture appear 2 piece,0.0
15184,Animal Print Puffy Sleeve Top,5,animal print puffy sleeve,0.0
15185,So soft and fits perfect.,5,soft fit perfect,0.7351
15186,"Terrific style, but fabric pills",3,terrific style fabric pill,0.4767
15187,It's such a great material.,5,great material,0.6249
15188,Great quality at a great price,5,great quality great price,0.8481
15189,Very comfortable shirt to dress up or down,5,comfortable shirt dress,0.5106
15190,It was marked XL but was more of a 2X to 3X,1,mark xl 2x 3x,0.0
15191,Great top for just about anything.,5,great,0.6249
15192,Bigger XS than other colors,4,big xs color,0.0
15193,This is super ugly,1,super ugly,0.1531
15194,Cuter than I expected! *UPDATE* The smell. OMG.,1,cut expected update smell omg,-0.2732
15195,Very comfortable and fits like great!,5,comfortable fit like great,0.9081
15196,It's a favorite,5,favorite,0.4588
15197,"Cute & soft, but thick & heavy",4,cute   soft thick   heavy,0.4588
15198,Comfortable and Stylist Shirt,5,comfortable stylist shirt,0.5106
15199,Great work shirt.,5,great work shirt,0.6249
15200,Soft and flattering but long...,4,soft flattering long,0.3182
15201,Comfy and cozy first. Style bonus.,5,comfy cozy style bonus,0.5423
15202,Not as casual as I thought,3,casual think,0.2023
15203,wonderfully soft,5,wonderfully soft,0.5994
15204,Sizes being exact,5,size exact,0.0
15205,Exacta la medida con lo que ordené,5,exacta la medida con lo que ordené,0.0
15206,"Love, Love!!",5,love love,0.8555
15207,Pretty dressy blouse,5,pretty dressy blouse,0.4939
15208,Hangs lower in front,2,hang lower,-0.296
15209,"This shirt is as show, but it is shear.",5,shirt shear,0.0
15210,Quality inconsistent,1,quality inconsistent,0.0
15211,Poor quality (BUYER BEWARE),2,poor quality buyer beware,-0.4767
15212,Beautiful comfort.,5,beautiful comfort,0.7506
15213,I wore to in family event with a Pencil skirt,5,wear family event pencil skirt,0.0
15214,Would purchase again,5,purchase,0.0
15215,Fits to my size perfectly,5,fit size perfectly,0.7717
15216,The WHITE BLOUSE,5,white blouse,0.0
15217,Received a lot of compliments when I wore it to work.,5,receive lot compliment wear work,0.4767
15219,"Looks ellegant, but ....",3,look ellegant,0.0
15220,Lovely soft material!  Flattering fit.,5,lovely soft material   flattering fit,0.8225
15221,"Love this top. Bought 3 different colors. Very flattering 132lbs, 5’4”, size large or 14",5,love buy 3 different color flattering 132lbs 54 size large 14,0.7579
15222,Love This Shirt,5,love shirt,0.6369
15223,"an elegant , beautiful top...great fit",4,elegant   beautiful topgreat fit,0.8591
15224,Love these shirts,5,love shirt,0.6369
15225,Fabric fraying after 3rd wash. Otherwise great but now I can't wear it!!!,1,fabric fray 3rd wash great not wear,0.6249
15226,"Comfortable, Cool and Pretty",5,comfortable cool pretty,0.8316
15227,"Fits,pretty, flattering",5,fitspretty flattering,0.3182
15228,Great Top,5,great,0.6249
15229,Dressy and comfy,5,dressy comfy,0.0
15230,Fit great and looks so cute,5,fit great look cute,0.8625
15231,"Beautiful color pattern, but material was not the best quality. Runs small",3,beautiful color pattern material good quality run small,0.7783
15232,Runs small- no stretch,3,run small stretch,0.0
15233,Nice flow and comfortable.,5,nice flow comfortable,0.7269
15234,Weird Material,2,weird material,-0.1779
15235,Someone called me a Blue Angel when I walked down the aisle at church,5,call blue angel walk aisle church,0.0
15236,Very nice quality.,5,nice quality,0.4215
15237,A bit too large,5,bit large,0.0
15238,"Beautiful blue blouse, makes a lady feel awesome",5,beautiful blue blouse make lady feel awesome,0.8402
15239,Seemed tighter than the others.  Extremely wrinkled.,3,tight   extremely wrinkle,0.0
15240,fat,1,fat,0.0
15241,"Gorgeous,  git many compliments",5,gorgeous   git compliment,0.7964
15242,ok,3,ok,0.296
15243,It looks and fits nice.,5,look fit nice,0.6486
15244,Too clingy,4,clingy,0.0
15245,This blouse is so very comfortable to wear. I got many compliments on it.,5,blouse comfortable wear get compliment,0.7506
15246,SeSe Code has excellent blouses!,5,sese code excellent blouse,0.5719
15247,Billowing,5,billow,0.0
15248,Love it💕,5,love,0.6369
15249,Make sure you check your inches,5,sure check inch,0.3182
15250,Looks great and feels good on.,5,look great feel good,0.7906
15251,Fit is right,5,fit right,0.3612
15252,It's pretty nice and it's my mom's favorite color.,5,pretty nice mom favorite color,0.8402
15253,Beautiful blouse and great fit,5,beautiful blouse great fit,0.8885
15254,Very nice blouse,5,nice blouse,0.4215
15255,It’s beautiful and soft,5,beautiful soft,0.5994
15256,Fits perfectly and is so pretty. Got a ton of compliments. .,5,fit perfectly pretty get ton compliment,0.9186
15257,"Flowy, watercolor top",5,flowy watercolor,0.0
15258,Beautiful Blouse,5,beautiful blouse,0.5994
15259,Flattering for those with non flat tummies,5,flatter non flat tummy,0.1027
15260,Love it ❤️,5,love,0.6369
15262,NOT AS PICTURED,2,picture,0.0
15263,Color not what shown,3,color show,0.0
15264,Not the exact color,4,exact color,0.0
15265,Great materail,5,great materail,0.6249
15266,I have long arms and it fits perfectly! I ordered a XL bc I have DD’s,5,long arm fit perfectly order xl bc dd,0.7717
15267,This is one of my favorites!,5,favorite,0.4588
15268,Simple but classy white top,5,simple classy white,0.4404
15269,A great little work blouse,5,great little work blouse,0.6249
15270,Cute and feminine.,5,cute feminine,0.4588
15271,"Beautiful blouse, great quality of material",5,beautiful blouse great quality material,0.8402
15272,Long arms dream,3,long arm dream,0.25
15273,Looks nice with black pants,5,look nice black pant,0.4215
15274,True to size. Very nice can be dressed up or down.,5,true size nice dress,0.6808
15275,LOVE this blouse!,5,love blouse,0.6369
15276,Dokotoo blouse,5,dokotoo blouse,0.0
15277,Party,5,party,0.4019
15278,Neckline not as depicted,1,neckline depict,0.0
15279,Looks nice,5,look nice,0.4215
15280,Cute but a little see through,3,cute little,0.4588
15281,Sleeves at wrist too large.,3,sleeve wrist large,0.0
15282,Nice enough for work!,5,nice work,0.4215
15283,looks better on picture and the fit is awful cheap fabric,1,look well picture fit awful cheap fabric,0.1531
15284,Lots of compliments on this shirt!,5,lot compliment shirt,0.4767
15285,"Beautiful, fits perfect.",5,beautiful fit perfect,0.8779
15286,Cute shirt casual or dressy,4,cute shirt casual dressy,0.5859
15287,Little big but love it,5,little big love,0.6022
15288,Fit is very flattering.,5,fit flattering,0.5859
15289,VERY long arms and sloppy fit,3,long arm sloppy fit,0.3612
15290,SHOULD HAVE RETURNED,2,return,0.0
15291,Disappointed in the color,2,disappoint color,-0.4019
15292,Green Blouse,5,green blouse,0.0
15293,Perfect blouse with cute details to look great on video calls,5,perfect blouse cute detail look great video call,0.8957
15294,Go up a size if busty!,4,size busty,0.0
15295,LOVE!! GREAT BUY!,5,love great buy,0.8519
15296,"Med was tight, LG is really big",4,me tight lg big,0.0
15297,"Beautiful color and material however, it was slightly smaller than normal.",4,beautiful color material slightly small normal,0.5994
15298,Bigger Chest,4,big chest,0.0
15299,It looks cheap!,1,look cheap,0.0
15300,It was just what I was expecting,5,expect,0.0
15301,Nothing like picture,1,like picture,0.3612
15302,Glad I ordered other options,1,glad order option,0.4588
15303,nice blouse,5,nice blouse,0.4215
15304,Goes with Dress slacks or jeans,5,go dress slack jean,0.0
15305,Not for busty people,1,busty people,0.0
15306,Nice shirt but too tight across the chest,5,nice shirt tight chest,0.4215
15307,chic,4,chic,0.2732
15308,If you want a cloak,1,want cloak,0.0772
15309,Didn’t like the stitching,2,not like stitching,-0.2755
15311,Fits to size. Material doesn’t have any stretch.,5,fit size material not stretch,0.3612
15312,very elegant or casual,5,elegant casual,0.5994
15313,Don’t like the way it looks,1,not like way look,-0.2755
15314,"Materrial, and how it fits",5,materrial fit,0.3612
15315,Beautiful blouse but runs small,4,beautiful blouse run small,0.5994
15316,Perfect fit for full figure,5,perfect fit figure,0.7351
15317,Super comfortable and not “cheap-looking” for the price. Super cute and love the fabric too.,5,super comfortable cheaplooke price super cute love fabric,0.9601
15318,Classy blouse,5,classy blouse,0.4404
15319,Didn’t like the material,2,not like material,-0.2755
15320,Love Love this shirt and I purchased a total of 5.,5,love love shirt purchase total 5,0.8555
15321,Size up if you have a large chest,5,size large chest,0.0
15322,Professional attire!,5,professional attire,0.0
15323,Nice top but the sleeves are very flowing...,4,nice sleeve flow,0.4215
15324,Beautiful Too,5,beautiful,0.5994
15325,I love the feel of this blouse and the overall style.,4,love feel blouse overall style,0.6369
15326,WAs received,4,receive,0.0
15327,"Great color, super soft and comfy",5,great color super soft comfy,0.8402
15328,Love everything about this blouse.,5,love blouse,0.6369
15329,Lovely blouse but beware if you are busty.,4,lovely blouse beware busty,0.5859
15330,Too small and odd looking,3,small odd look,-0.3182
15331,Dress it up or dress it down,5,dress dress,0.0
15332,it is long,4,long,0.0
15333,Beautiful top runs small,5,beautiful run small,0.5994
15334,Very stylish and well-made,5,stylish wellmade,0.0
15335,Feminine shell,5,feminine shell,0.0
15336,Very pretty. And I am very pleased with this purchase.,5,pretty pleased purchase,0.7269
15337,Really pretty and well made for the price!,5,pretty price,0.4939
15338,Don't buy!,1,not buy,0.0
15339,"Great fit, very pretty ❤️",5,great fit pretty,0.8689
15340,A little pricey,5,little pricey,0.0
15341,Too big under arms,3,big arm,0.0
15342,I like the material and the loose fit .,4,like material loose fit,0.4019
15343,"Would buy again, love it!!!!",5,buy love,0.6369
15344,Beautiful color pink,4,beautiful color pink,0.5994
15345,"Lightweight, fits loosely as desired. Received compliments on top.",5,lightweight fit loosely desire receive compliment,0.8074
15346,Cute top it wrinkles with washing and material stains easy,2,cute wrinkle washing material stain easy,0.7096
15347,Secondhand shopping…?,1,secondhand shopping,0.0
15348,beautiful fit,3,beautiful fit,0.7506
15349,"Beautiful top, fits well and wett made.",5,beautiful fit wett,0.7506
15350,A very nice top for the price,5,nice price,0.4215
15351,This shirt fits a little snug on me,5,shirt fit little snug,0.3612
15352,Preciosa.,5,preciosa,0.0
15353,Size up by one,5,size,0.0
15354,"very nice, but the mint green is actually a dull blue-green",3,nice mint green actually dull bluegreen,0.0258
15355,Lovely!  But runs large.,5,lovely   run large,0.5859
15356,Like it but the arm holes are really big,3,like arm hole big,0.3612
15357,Didn't look right,2,not look right,0.0
15358,Flattering for any shape,5,flatter shape,0.1027
15359,Beautiful and flattering.,4,beautiful flattering,0.7351
15360,There is a problem!,1,problem,-0.4019
15361,Perfect black top,5,perfect black,0.5719
15362,Not returnable for size exchange,4,returnable size exchange,0.0
15363,Very pretty and feminine,5,pretty feminine,0.4939
15364,"Great Top, Well-Made, but Too Big",5,great wellmade big,0.6249
15365,Don't waste your money!  Very cheaply made and the material is horrible!,2,not waste money   cheaply material horrible,-0.2887
15366,Watch the pleat,4,watch pleat,0.0
15367,Happy with purchase,5,happy purchase,0.5719
15368,pretty blouse,4,pretty blouse,0.4939
15369,"Followed all reviews,and size chart,and it was too small. I'm 5""1",3,follow reviewsand size chartand small m 51,0.0
15370,Color was nice.,5,color nice,0.4215
15371,Perfect fit and so cute!,5,perfect fit cute,0.8481
15372,"Meh, pretty though",3,meh pretty,0.4404
15373,Perfect work shirt.,5,perfect work shirt,0.5719
15374,Fits comfortably,5,fit comfortably,0.6486
15375,Pills Immediately,2,pill immediately,0.0
15376,This blouse fits as expected. I wear a large and bought a large and it fits nicely.,5,blouse fit expect wear large buy large fit nicely,0.7845
15377,Just OK for price,3,ok price,0.296
15378,Favorite Blouse,5,favorite blouse,0.4588
15379,Nice summer shirt,5,nice summer shirt,0.4215
15380,A versatile lovely piece,5,versatile lovely piece,0.5859
15381,I bought two colors,5,buy color,0.0
15382,"So cute, perfect for under a suit",5,cute perfect suit,0.7717
15383,Great top! One of my favorites.,5,great favorite,0.7964
15384,Fabric wrinkles easily,3,fabric wrinkle easily,0.34
15385,"Nice shirt, sleeve fit varies",4,nice shirt sleeve fit varie,0.6486
15387,Figure out a bra scenario before you wear it,3,figure bra scenario wear,0.0
15388,Gorgeous top!!,5,gorgeous,0.6124
15389,Green top,1,green,0.0
15390,Seller sent wrong item,1,seller send wrong item,-0.4767
15391,It’s too short and I won’t be able to wear it,2,short will not able wear,0.0
15392,Smelled Bad,2,smell bad,-0.5423
15393,Too small not as expected,2,small expect,0.0
15394,Cute shirt!!!,5,cute shirt,0.4588
15395,"Cheap fabric, and the floral design is plastic decals.",1,cheap fabric floral design plastic decal,0.0
15396,"Super Cute top, Buy it!!!",5,super cute buy,0.7845
15397,Just OK,3,ok,0.296
15398,Always get compliments!,5,compliment,0.4767
15399,Size description,3,size description,0.0
15400,Cant wear a bra,5,not wear bra,0.0
15401,Love it! Material is great!,5,love material great,0.8519
15402,Better than pictured,5,well picture,0.2732
15403,It’s not bad,4,bad,-0.5423
15404,Feminine and Comfortable,5,feminine comfortable,0.5106
15405,Cute top and flattering,5,cute flattering,0.6486
15406,PERFECT TOP,5,perfect,0.5719
15407,Short on the torso but I am short,5,short torso short,0.0
15408,Comfortable & Flattering,5,comfortable   flattering,0.6808
15409,Not for flat chests,3,flat chest,0.0
15410,"Cute in pic, but not on my body",1,cute pic body,0.4588
15411,"This top is cute, but so uncomfortable",3,cute uncomfortable,0.1027
15412,Poor fit at shoulders,1,poor fit shoulder,-0.1531
15413,Unique ruched top,5,unique ruche,0.0
15414,"Beautiful blouse, but run karge.",1,beautiful blouse run karge,0.5994
15415,Great Purchase!,5,great purchase,0.6249
15416,It is beautiful!,5,beautiful,0.5994
15417,Obsessed with this shirt,5,obsess shirt,-0.25
15418,Washes well,5,wash,0.0
15419,Love the top! Didn’t like the was it was shipped in thin plastic bag.,5,love not like ship thin plastic bag,0.4749
15420,"Nice fabric, good quality.",5,nice fabric good quality,0.6908
15421,Fits perfect. It's really cute. I'm going to buy another in a different color.,5,fit perfect cute m go buy different color,0.8481
15422,Very cute but runs a little large.,5,cute run little large,0.4588
15423,Pretty lavender color,5,pretty lavender color,0.4939
15424,Perfect for casual as well as semi formal occasions,5,perfect casual semi formal occasion,0.6705
15425,Está bonita esta blusa,5,está bonita esta blusa,0.0
15426,Good quality shirt,4,good quality shirt,0.4404
15427,Multiple occasions,5,multiple occasion,0.0
15428,"I purchased a size large, based on other reviews of height and weight",5,purchase size large base review height weight,0.0
15429,Ridiculously huge sizing,1,ridiculously huge sizing,-0.0258
15430,"It’s the perfect classy casual shirt! Light, breathable and cute!!",5,perfect classy casual shirt light breathable cute,0.886
15431,Sizing is weird,3,size weird,-0.1779
15432,Did not fit well,2,fit,0.3612
15433,FAST delivery,4,fast delivery,0.0
15434,share top,4,share,0.296
15435,Really pretty blouse!,3,pretty blouse,0.4939
15436,Fits a little large,4,fit little large,0.3612
15437,Cute shirt for the price,4,cute shirt price,0.4588
15438,Nice quality but runs large,4,nice quality run large,0.4215
15439,Not flattering at all and very see through.,2,flattering,0.3182
15440,variation in shipping,3,variation shipping,0.0
15441,Great Choice!!,5,great choice,0.6249
15442,Slightly transparent,3,slightly transparent,0.0
15443,It’s cute but very oversized and heavy material,3,cute oversized heavy material,0.4588
15444,need to exchange for smaller size,5,need exchange small size,0.0
15445,Dressed up but super comfortable.,5,dress super comfortable,0.802
15446,OK for a tee shirt,3,ok tee shirt,0.296
15447,Cute but the color was off on me,3,cute color,0.4588
15448,"Nice tunic , just what I wanted",5,nice tunic   want,0.4767
15449,"This was a nice blouse, but I am short 5’1” and it was just too long on me. I returned it.",3,nice blouse short 51 long return,0.4215
15450,Purchasing more colors,5,purchase color,0.0
15451,FIT IS AS EXPECTED,1,fit expect,0.3612
15452,Dressy or fun. The perfect top.,5,dressy fun perfect,0.7906
15453,Drapes Nicely,5,drape nicely,0.4404
15454,"Very comfortable ,I liked it so much I bought 2 more",5,comfortable like buy 2,0.7003
15455,Perfect for work.,5,perfect work,0.5719
15456,Dressy,4,dressy,0.0
15457,Fit is boxy,4,fit boxy,0.3612
15458,Fits true to size,5,fit true size,0.6486
15459,Great fit. Comfortable and not to hot,4,great fit comfortable hot,0.872
15460,Just Ok,5,ok,0.296
15461,Nice fabric for spring or fall,4,nice fabric spring fall,0.4215
15462,Good quality and washes up well.,5,good quality wash,0.4404
15463,Accurately sized,5,accurately size,0.0
15464,Bottom of shirt has too much material,1,shirt material,0.0
15465,Not for the petite sized woman,4,petite sized woman,0.0
15466,Pretty and cool for Texas heat!,5,pretty cool texas heat,0.6705
15467,Won’t buy again,3,will not buy,0.0
15468,PERFECT!,5,perfect,0.5719
15469,Doesn't look ANYTHING like the picture!,1,not look like picture,-0.2755
15470,Love the blue color!,5,love blue color,0.6369
15471,Fabric is not great,2,fabric great,0.6249
15472,Perfect blouse for me!!,5,perfect blouse,0.5719
15473,Fabric seems cheap,2,fabric cheap,0.0
15474,Bought it for family pictures,5,buy family picture,0.0
15475,Teal blue color not as pictured,4,teal blue color picture,0.0
15476,Far too matronly and heavy for my tastes,3,far matronly heavy taste,0.0
15477,Pleats In the Worst Place,3,pleat bad place,-0.5423
15478,Fits Great!,5,fit great,0.765
15479,looks great after washing!,5,look great washing,0.6249
15480,What a wonderful blouse this is!,5,wonderful blouse,0.5719
15481,Bad for large cheat,2,bad large cheat,-0.7579
15483,PRETTY,5,pretty,0.4939
15484,Great fit.,5,great fit,0.765
15485,Great for work or pkay,4,great work pkay,0.6249
15486,Super Long,3,super long,0.5994
15487,Don’t like the shirt,1,not like shirt,-0.2755
15488,Fit just right,5,fit right,0.3612
15489,"Nice blouse, runs large",5,nice blouse run large,0.4215
15490,"Like the style, but quality is crap",2,like style quality crap,-0.0258
15491,Runs a little small in the hips for me.,5,run little small hip,0.0
15492,BEWARE!!!,1,beware,0.0
15493,"Very pretty, washes well",5,pretty wash,0.4939
15494,Boxy and wide,2,boxy wide,0.0
15495,Nice quality but unfortunately too small,3,nice quality unfortunately small,0.1027
15496,Bellísima!!!,5,bellísima,0.0
15497,Cream not White,3,cream white,0.0
15498,Ordered three of these.This one is cut too large.,1,order thesethis cut large,-0.2732
15499,"Cute shirt but super long, wear with leggings.",3,cute shirt super long wear legging,0.7845
15500,perfect,5,perfect,0.5719
15501,Worst material ever! Especially for summer!,1,bad material especially summer,-0.5423
15502,Search Ends here,5,search end,0.0
15503,If you were extra large then order small,1,extra large order small,0.0
15504,This shirt is gorgeous,4,shirt gorgeous,0.6124
15505,flattering fit,4,flattering fit,0.5859
15506,Perfect summer blouse for work,5,perfect summer blouse work,0.5719
15507,Did not like the fold in the front,2,like fold,0.3612
15508,Cool and comfy,5,cool comfy,0.3182
15509,White silky top,5,white silky,0.0
15510,Doesn’t fit as expected,1,not fit expect,-0.2755
15511,This is one for the chesty girls.,5,chesty girl,0.0
15512,I ordered this and it is WAY to big,2,order way big,0.0
15513,Nice and dressy,4,nice dressy,0.4215
15514,Why too big,1,big,0.0
15515,Nice and simple,4,nice simple,0.4215
15516,TWO V-NECKS,5,vneck,0.0
15517,Material is great!,5,material great,0.6249
15518,Perfect look layered or on its own.,4,perfect look layered,0.5719
15519,Arm holes are too big,3,arm hole big,0.0
15520,Don't buy,1,not buy,0.0
15521,No shape. Fits like a square.  Armholes are massive!,1,shape fit like square   armhole massive,0.6124
15522,Pretty and Comfortable,5,pretty comfortable,0.7579
15523,a little large at the arm hole,4,little large arm hole,0.0
15524,Looks BEAUTIFUL !!,5,look beautiful,0.5994
15525,Eh…,3,eh,0.0
15526,Excellent Silky Camisole,5,excellent silky camisole,0.5719
15527,"creases, creases, creases",4,crease crease crease,0.0
15528,Quality matches the inexpensive price,4,quality match inexpensive price,0.0
15529,Silk cami,5,silk cami,0.0
15530,Comfortable camisole,3,comfortable camisole,0.5106
15531,Very nice top,5,nice,0.4215
15532,Simple and classic but cute,4,simple classic cute,0.4588
15533,Great value for the price,5,great value price,0.7579
15534,nice item,5,nice item,0.4215
15535,Never the right color or size,2,right color size,0.0
15536,Needs to be longer!,4,need long,0.0
15537,Very good fit & good Fabric,5,good fit   good fabric,0.8074
15538,Campera Columbia,4,campera columbia,0.0
15539,Always great fleece by Columbia but wrong color,3,great fleece columbia wrong color,0.25
15540,Excellent Quality at a Good Price,5,excellent quality good price,0.765
15541,My Go To Jacket,5,jacket,0.0
15542,Colors a bit off but I love it,5,color bit love,0.6369
15543,Great fleece for cooler weather,5,great fleece cool weather,0.7506
15544,"Me gusto mucho, sobre todo los colores.",5,gusto mucho sobre todo los colores,0.0
15545,The brand is meeehhh,1,brand meeehhh,0.0
15546,Lovely color and perfect fit,5,lovely color perfect fit,0.875
15547,VERY COMFORTABLE,5,comfortable,0.5106
15548,"Cozy, warm jacket",5,cozy warm jacket,0.2263
15549,Great Jacket would buy again,5,great jacket buy,0.6249
15550,Warm!,5,warm,0.2263
15551,Warmth and comfort,5,warmth comfort,0.6705
15552,My favorite jacket!,5,favorite jacket,0.4588
15553,I love this fleece,4,love fleece,0.6369
15554,No le quedó bien,2,le quedó bien,0.0
15555,Very nice fleece,5,nice fleece,0.4215
15556,Coral Reef,5,coral reef,0.0
15557,Perfect Gift,5,perfect gift,0.765
15558,Suave y caliente,5,suave y caliente,0.4588
15559,Didn’t fit as expected,2,not fit expect,-0.2755
15560,Good lightweight apparel,5,good lightweight apparel,0.4404
15561,Womens Columbia jacket,5,womens columbia jacket,0.0
15562,"Very thin, not structured",3,thin structure,0.0
15563,Buena calidad,5,buena calidad,0.0
15564,Too short for plus size,3,short plus size,0.0
15565,Size runs a little small,5,size run little small,0.0
15566,"Runs small, thinner than previous versions.",3,run small thin previous version,0.0
15567,Love this jacket! Very warm and well made!e!,5,love jacket warm madee,0.7269
15568,It’s a snug fit,4,snug fit,0.3612
15569,Nice lightweight fleece!,4,nice lightweight fleece,0.4215
15570,Great rain jacket!,5,great rain jacket,0.6249
